NPLV,O2_chronom_more_than_one
510008,0
510009,0
510010,0
510011,0
510012,1
510013,1
510014,1
510015,1
510016,0
510017,1
510018,0
510019,0
510020,1
510021,0
510022,1
510023,1
510024,1
510026,1
510027,1
510028,1
510030,1
510031,1
510032,0
510033,1
510037,1
510040,1
510043,1
510044,1
510045,1
510047,1
510048,0
510049,1
510050,1
510051,1
510052,1
510053,0
510055,1
510057,1
510058,1
510059,1
510060,0
510061,0
510062,0
510063,0
510064,0
510066,0
510067,1
510068,1
510069,1
510070,1
510071,1
510072,1
510073,1
510074,1
510075,1
510076,1
510077,1
510078,1
510079,1
510080,1
510081,0
510082,0
510083,1
510084,1
510087,1
510088,1
510089,1
510090,1
510091,1
510092,1
510093,1
510094,1
510095,1
510096,0
510097,1
510098,1
510099,1
510100,1
510101,1
510102,1
510103,0
510104,1
510105,1
510106,1
510107,1
510108,1
510109,0
510110,1
510111,1
510112,1
510114,1
510115,1
510116,1
510117,1
510118,1
510119,1
510120,1
510121,1
510122,0
510124,0
510125,0
510126,0
510128,0
510130,1
510131,0
510132,1
510133,1
510134,1
510135,1
510136,1
510137,0
510138,0
510139,0
510140,1
510141,0
510142,0
510143,1
510144,1
510145,1
510146,1
510147,1
510148,1
510149,1
510151,0
510152,0
510153,1
510156,0
510157,0
510158,0
510159,1
510160,1
510161,1
510163,0
510164,1
510165,0
510166,0
510167,0
510168,1
510169,1
510170,1
510171,1
510172,1
510174,0
510175,0
510176,0
510177,0
510178,0
510179,1
510180,0
510181,0
510182,1
510183,0
510184,0
510185,1
510186,1
510187,0
510188,1
510189,1
510190,1
510191,1
510192,0
510193,0
510195,0
510197,0
510198,1
510199,0
510200,0
510201,1
510202,1
510203,1
510205,1
510206,0
510207,0
510208,1
510209,0
510210,1
510211,1
510212,1
510213,0
510214,0
510215,0
510216,1
510217,0
510218,1
510219,0
510220,1
510221,1
510222,0
510223,1
510224,0
510225,1
510226,1
510227,1
510228,0
510229,0
510230,0
510231,1
510232,0
510233,1
510234,0
510235,1
510236,1
510237,1
510238,1
510239,1
510240,0
510241,0
510242,0
510243,0
510244,0
510245,0
510246,0
510248,1
510249,1
510250,0
510251,0
510252,0
510253,0
510254,1
510255,1
510258,0
510259,0
510260,0
510261,1
510263,1
510264,1
510265,0
510266,1
510267,0
510268,0
510269,0
510270,0
510271,0
510272,1
510273,1
510274,1
510275,1
510276,0
510278,1
510279,1
510280,1
510281,0
510282,0
510283,1
510284,1
510285,0
510286,1
510287,1
510288,1
510289,1
510290,1
510291,1
510292,1
510293,0
510294,0
510295,1
510296,0
510297,0
510299,1
510300,1
510301,0
510302,1
510303,1
510304,1
510305,1
510306,0
510307,0
510308,1
510310,1
510311,1
510312,1
510313,1
510314,1
510317,1
510318,0
510319,0
510320,0
510321,0
510322,0
510323,0
510324,1
510325,1
510326,0
510327,1
510328,0
510329,1
510330,0
510331,0
510332,0
510333,0
510334,0
510335,0
510336,0
510337,0
510338,0
510339,1
510341,1
510342,1
510343,0
510344,1
510345,0
510347,1
510348,0
510349,0
510350,0
510351,0
510353,0
510354,0
510355,0
510356,0
510358,0
510359,1
510360,1
510361,1
510363,0
510364,0
510365,1
510366,1
510367,0
510368,0
510369,1
510370,1
510371,1
510372,0
510373,1
510374,0
510375,1
510376,1
510377,1
510378,1
510379,0
510381,0
510384,1
510385,1
510386,0
510387,0
510388,1
510389,0
510390,0
510391,1
510392,1
510393,0
510394,0
510395,0
510397,1
510398,1
510399,1
510400,1
510401,0
510403,1
510404,0
510405,0
510406,0
510407,1
510408,1
510409,1
510410,1
510411,0
510412,1
510413,1
510414,1
510415,1
510416,1
510417,0
510418,0
510419,0
510420,0
510421,0
510422,1
510423,0
510425,1
510426,0
510427,1
510428,0
510429,0
510430,1
510431,1
510432,1
510433,1
510435,0
510436,0
510437,1
510438,1
510439,1
510440,1
510441,0
510442,0
510443,1
510444,0
510445,1
510446,1
510448,1
510449,1
510450,1
510451,1
510452,1
510453,0
510454,0
510455,1
510456,1
510457,1
510458,1
510459,1
510460,0
510461,0
510462,1
510463,1
510464,1
510466,1
510467,0
510468,0
510469,0
510470,1
510471,1
510472,1
510473,0
510474,0
510475,1
510476,1
510477,1
510478,0
510479,0
510480,1
510482,0
510483,0
510484,1
510485,1
510486,0
510487,0
510488,1
510489,0
510490,0
510491,0
510492,1
510493,0
510494,0
510495,0
510496,0
510497,0
510498,0
510499,1
510500,0
510501,1
510503,1
510504,1
510505,1
510506,1
510507,0
510509,0
510510,0
510511,1
510512,1
510513,1
510514,1
510515,0
510516,1
510517,1
510518,1
510519,0
510520,1
510521,0
510523,0
510524,0
510525,0
510526,1
510527,0
510528,1
510529,0
510530,0
510531,0
510532,1
510533,1
510535,1
510536,0
510537,0
510538,1
510539,0
510540,1
510541,1
510542,1
510543,0
510544,1
510546,0
510547,1
510548,1
510549,1
510550,0
510551,1
510552,1
510553,0
510554,0
510555,0
510558,1
510560,1
510561,0
510563,0
510564,0
510565,0
510566,0
510567,1
510568,0
510569,1
510570,1
510571,1
510572,1
510573,1
510574,0
510575,1
510576,1
510577,1
510578,0
510579,1
510580,1
510582,1
510583,1
510584,0
510585,0
510586,1
510587,1
510589,1
510590,1
510592,1
510593,1
510594,1
510595,1
510596,0
510597,0
510598,1
510599,1
510600,1
510601,0
510602,1
510603,0
510604,0
510605,0
510608,1
510609,0
510614,1
510616,0
510622,1
510623,1
510624,1
510626,1
510627,1
510628,0
510629,0
510630,1
510631,1
510632,1
510633,1
510634,0
510635,0
510636,0
510637,1
510638,1
510639,0
510640,1
510641,0
510642,0
510643,0
510644,0
510645,0
510646,1
510647,1
510648,1
510649,1
510650,0
510652,1
510653,0
510654,1
510655,1
510656,0
510657,1
510658,0
510659,1
510660,1
510662,1
510664,1
510665,1
510666,0
510667,0
510668,0
510669,1
510670,1
510671,0
510672,1
510673,0
510674,1
510675,1
510676,1
510677,1
510678,0
510679,0
510680,1
510681,1
510682,1
510683,1
510684,1
510685,0
510686,0
510687,1
510688,1
510689,1
510690,1
510691,1
510692,0
510693,1
510694,1
510695,0
510696,1
510697,0
510698,1
510699,1
510700,1
510701,0
510702,0
510703,1
510704,0
510705,0
510706,1
510708,0
510710,0
510712,1
510713,1
510714,0
510715,0
510716,1
510717,0
510718,0
510719,0
510720,1
510721,0
510722,0
510723,1
510724,1
510725,0
510726,1
510727,1
510728,0
510729,0
510730,1
510731,0
510732,1
510733,1
510734,0
510735,0
510736,0
510737,0
510738,1
510739,1
510740,1
510741,1
510742,0
510743,1
510744,1
510745,1
510746,1
510747,0
510748,1
510749,1
510750,1
510751,1
510752,1
510753,1
510754,0
510755,0
510756,0
510757,0
510758,1
510759,0
510760,1
510761,0
510762,0
510763,0
510764,0
510765,0
510766,1
510767,0
510768,1
510770,0
510771,1
510772,1
510773,1
510774,1
510775,1
510776,1
510777,1
510778,1
510779,0
510780,0
510781,1
510782,1
510783,1
510784,1
510787,1
510788,1
510789,1
510790,1
510791,1
510792,0
510793,1
510794,1
510795,1
510797,0
510798,1
510799,1
510800,0
510801,1
510802,1
510803,1
510804,1
510805,1
510806,1
510807,1
510808,0
510809,1
510810,1
510812,0
510813,0
510814,0
510815,0
510817,0
510818,0
510819,0
510820,1
510821,1
510822,0
510823,0
510824,0
510825,0
510826,0
510827,1
510828,0
510829,0
510831,1
510833,1
510834,1
510836,1
510837,1
510838,1
510839,0
510840,1
510841,0
510842,1
510843,1
510844,0
510845,1
510846,1
510847,1
510848,1
510849,1
510850,1
510851,1
510852,1
510853,1
510854,1
510855,1
510856,0
510857,1
510858,1
510859,0
510860,0
510861,0
510862,1
510863,1
510864,1
510865,1
510866,0
510867,1
510868,0
510869,0
510870,0
510871,1
510872,0
510873,0
510874,1
510875,1
510876,1
510877,1
510878,1
510879,1
510880,0
510881,1
510882,0
510883,0
510884,1
510885,1
510886,0
510887,1
510888,0
510889,0
510891,1
510892,0
510893,0
510894,0
