NPLV,TST,C
512324,1656.8374,0.059325695
512327,1660.2109,0.09592959
512328,1660.3466,0.0748564
512331,1645.3608,0.13039558
512333,1664.9176,0.10226101
512339,1660.3854,0.1137447
512344,1667.769,0.09681995
512348,1665.3314,0.091613725
512349,1652.4268,0.041357342
512350,1648.7667,0.083947554
512352,1665.2163,0.077323735
512354,1656.4065,0.05322259
512355,1663.9675,0.07396892
512356,1675.7283,0.049391653
512358,1671.5447,0.066168085
512361,1681.8066,0.05185739
512362,1686.2579,0.061857715
512363,1653.0486,0.12414746
512366,1667.8464,0.06637551
512367,1666.2896,0.09568535
512368,1671.5444,0.06981866
512369,1650.9827,0.04957255
512370,1654.4757,0.033444166
512371,1661.9578,0.05554509
512372,1649.1069,0.052336633
512373,1640.1338,0.037773125
512374,1659.3616,0.0696145
512375,1659.9651,0.0632864
512376,1660.6151,0.04994986
512377,1661.367,0.055392176
512379,1660.9525,0.05262504
512380,1660.9819,0.07589213
512381,1649.1946,0.07973572
512382,1665.3708,0.05133394
512383,1659.7754,0.050764106
512384,1676.1145,0.07199485
512385,1678.0022,0.04116206
512386,1676.36,0.04886636
512387,1652.5466,0.13412729
512390,1670.4188,0.04785111
512391,1671.4645,0.07578899
512392,1665.9292,0.056698963
512393,1661.596,0.07290317
512394,1670.6903,0.052361812
512395,1648.6523,0.043989953
512396,1661.4174,0.046687804
512397,1671.5518,0.034883596
512398,1650.6819,0.05362479
512399,1675.6311,0.06630638
512402,1666.8308,0.057628915
512403,1658.1387,0.046895552
512405,1663.2676,0.06309882
512407,1671.187,0.08424297
512408,1666.6038,0.056821886
512409,1660.4005,0.0828051
512410,1662.7502,0.082034074
512411,1663.1156,0.08084476
512412,1659.5254,0.06768902
512413,1668.0248,0.07040228
512414,1666.9856,0.085695684
512415,1659.1582,0.11384131
512416,1661.2583,0.09160965
512417,1669.6208,0.06901525
512418,1661.353,0.053866215
512419,1655.146,0.034137074
512420,1674.2017,0.05933837
512421,1673.5194,0.0788914
512422,1645.9473,0.058221832
512423,1649.5975,0.11371654
512424,1655.6555,0.11985968
512425,1667.2344,0.07477905
512426,1656.6587,0.049280517
512427,1669.3572,0.045988314
512428,1650.9686,0.045827188
512430,1648.677,0.14337574
512431,1664.2949,0.10141489
512432,1659.9246,0.038529076
512433,1658.8342,0.048720997
512434,1664.5856,0.04636688
512435,1633.18,0.05534285
512436,1641.6968,0.07746389
512437,1651.0684,0.06706831
512438,1632.522,0.08247179
512440,1655.112,0.104115546
512442,1655.5549,0.066191524
512443,1665.5591,0.07647529
512444,1646.6577,0.0836332
512448,1644.7002,0.066719055
512449,1646.1643,0.06273429
512450,1652.7312,0.04917536
512451,1649.417,0.04560899
512452,1656.8323,0.05323916
512453,1647.9277,0.07937117
512454,1655.1606,0.05467248
512455,1660.9277,0.06575241
512456,1651.1609,0.051510725
512461,1667.0642,0.051609248
512462,1647.9607,0.064351596
512464,1660.0918,0.025055517
512469,1665.4663,0.098162
512471,1652.0791,0.043086197
512473,1655.2827,0.07865411
512474,1665.4597,0.10362243
512477,1658.204,0.05402661
512481,1660.2129,0.084055856
512482,1665.2859,0.07672404
512485,1671.0001,0.06332162
512489,1657.3633,0.0991538
512490,1664.6907,0.04995473
512491,1637.4897,0.054025106
512492,1670.7197,0.04686562
512494,1655.6987,0.09335688
512496,1672.9302,0.054611612
512497,1678.6226,0.04624433
512499,1679.2319,0.040485814
512500,1674.8074,0.04200833
512501,1672.9028,0.051359847
512502,1674.1273,0.063081264
512503,1668.8817,0.07003435
512504,1665.5125,0.05701693
512505,1671.388,0.05912388
512506,1662.1631,0.057922654
512507,1674.8484,0.061492372
512508,1661.7147,0.07059312
512509,1671.8589,0.05962064
512511,1655.2206,0.055900782
512512,1671.634,0.05973964
512513,1675.9043,0.06282763
512514,1662.6804,0.0547427
512515,1674.4705,0.06266835
512516,1673.6477,0.08537755
512517,1668.7653,0.0798873
512518,1660.7358,0.06564351
512519,1665.1722,0.06761899
512520,1649.5479,0.105125755
512521,1648.3342,0.10077162
512522,1648.0782,0.06741263
512523,1659.8822,0.06941957
512524,1647.7292,0.031793915
512525,1661.2985,0.06796897
512526,1676.019,0.08349347
512527,1666.7283,0.06746291
512528,1662.6316,0.09092864
512529,1662.9751,0.07731424
512531,1664.3452,0.076510355
512532,1673.5378,0.067371875
512533,1658.1416,0.058853403
512534,1668.5537,0.085247025
512535,1667.4167,0.06666058
512536,1676.9974,0.09817808
512537,1663.4243,0.081753075
512538,1663.5632,0.07924527
512539,1669.3269,0.08996324
512540,1666.3125,0.08691377
512541,1661.1445,0.10668516
512542,1646.3984,0.064140484
512544,1652.6582,0.047880054
512545,1666.1265,0.07533265
512546,1652.2753,0.05700782
512547,1644.9761,0.047108106
512548,1648.4524,0.052059993
512549,1673.0876,0.05817042
512550,1676.7174,0.08183347
512551,1672.4197,0.0946607
512552,1670.4135,0.10087997
512553,1653.1143,0.078928664
512554,1670.001,0.062236212
512555,1674.4093,0.078324504
512556,1654.5569,0.07104979
512557,1654.6265,0.047444172
512558,1646.5944,0.0624969
512559,1649.1582,0.056059513
512560,1669.3701,0.06299184
512561,1665.041,0.0648365
512562,1669.1042,0.07581653
512563,1652.104,0.07125688
512564,1664.3865,0.077813074
512566,1647.0952,0.06376647
512567,1643.999,0.04277122
512568,1660.6584,0.05821593
512569,1646.7717,0.07229359
512570,1646.7385,0.07499562
512571,1662.0934,0.07437391
512572,1662.3623,0.07145922
512573,1654.1284,0.07615836
512574,1658.1968,0.077621244
512575,1661.4849,0.0790516
512576,1641.9756,0.087583005
512577,1641.8213,0.057014458
512578,1655.3064,0.074545965
512579,1669.9673,0.0614587
512580,1665.8921,0.047396027
512581,1669.0173,0.0410414
512582,1673.7169,0.053303413
512583,1668.7413,0.057450473
512584,1670.659,0.050602708
512585,1660.3192,0.044005305
512586,1667.148,0.04233156
512588,1652.5742,0.06138618
512589,1667.8574,0.05527252
512591,1675.802,0.061990008
512593,1651.8464,0.057876885
512594,1664.5485,0.104705565
512595,1671.7974,0.08065133
512596,1670.6321,0.075782105
512597,1684.9792,0.05960028
512598,1661.2246,0.065890364
512599,1666.9819,0.0761524
512600,1661.4832,0.06431532
512602,1642.6711,0.07395025
512603,1669.9624,0.07152098
512604,1676.6428,0.06804074
512605,1655.3575,0.086321965
512606,1657.8713,0.08269213
512607,1655.1941,0.07831727
512608,1654.9257,0.06264351
512609,1643.2462,0.07975069
512610,1654.1631,0.05778933
512612,1648.0337,0.082060136
512613,1663.1167,0.08655551
512614,1673.6116,0.06915333
512615,1655.5518,0.05576281
512617,1655.9564,0.045350455
512619,1657.6072,0.04483026
512621,1665.3889,0.10806137
