NPLV,TST,C
512324,1658.6185,0.055555638
512327,1662.306,0.09149558
512328,1663.8738,0.080010705
512331,1651.9456,0.12300213
512333,1665.9786,0.09843673
512339,1661.5112,0.11878061
512344,1671.5133,0.08188331
512348,1663.312,0.082631014
512349,1655.9622,0.03166803
512350,1652.0762,0.08107558
512352,1667.8331,0.078324236
512354,1660.7083,0.048360072
512355,1665.4244,0.06750473
512356,1679.1078,0.039360702
512358,1675.716,0.051067434
512361,1684.0297,0.045146734
512362,1687.165,0.051507384
512363,1654.0687,0.108561
512366,1673.4745,0.057330012
512367,1668.8918,0.09426944
512368,1674.1917,0.056534864
512369,1654.3195,0.03920574
512370,1654.8143,0.019680128
512371,1664.605,0.04840847
512372,1651.2832,0.041977763
512373,1643.8716,0.026733084
512374,1663.5619,0.061904714
512375,1661.8608,0.059617467
512376,1663.195,0.04674525
512377,1664.2415,0.045997784
512379,1663.3628,0.039974365
512380,1661.9777,0.079718255
512381,1654.4443,0.06669118
512382,1670.5276,0.035585888
512383,1666.0684,0.0291362
512384,1679.2659,0.05225095
512385,1680.9154,0.022991233
512386,1682.0192,0.0341238
512387,1655.014,0.1460433
512390,1672.4675,0.037010435
512391,1673.6855,0.07809433
512392,1668.5735,0.05198832
512393,1664.4884,0.06221484
512394,1672.8844,0.045255087
512395,1649.5686,0.036231715
512396,1663.7686,0.041084196
512397,1672.9653,0.028694987
512398,1653.5825,0.043768644
512399,1677.2854,0.060103603
512402,1671.4766,0.04918444
512403,1662.0331,0.037820127
512405,1664.8928,0.049243234
512407,1675.1691,0.07548418
512408,1668.6477,0.04059746
512409,1665.7118,0.07389748
512410,1665.9403,0.07428324
512411,1665.963,0.07053976
512412,1664.6527,0.056393854
512413,1670.3507,0.06129735
512414,1670.7046,0.06979292
512415,1664.7081,0.09949252
512416,1664.3619,0.084829755
512417,1674.013,0.05682315
512418,1661.7654,0.01063581
512419,1655.5193,0.026041318
512420,1676.2406,0.04266678
512421,1672.1626,0.07722348
512422,1647.7673,0.04830894
512423,1650.3549,0.10349667
512424,1658.9053,0.10123454
512425,1664.9547,0.07164459
512426,1663.2589,0.03589285
512427,1674.3556,0.028125018
512428,1650.4294,0.023054024
512430,1652.3445,0.14519118
512431,1665.4149,0.104093656
512432,1662.7738,0.021416303
512433,1660.1737,0.04487073
512434,1666.7881,0.034623973
512435,1642.0117,0.03464853
512436,1647.9182,0.06178886
512437,1658.3452,0.059566982
512438,1639.2833,0.06212142
512440,1658.5771,0.091627926
512442,1658.5035,0.060784847
512443,1666.2644,0.07734273
512444,1650.7842,0.08163055
512448,1648.6891,0.055597007
512449,1649.2161,0.052748434
512450,1656.6542,0.035928857
512451,1654.3453,0.035071827
512452,1660.1957,0.04912863
512453,1651.8556,0.07513127
512454,1661.8091,0.049128138
512455,1666.1511,0.057388294
512456,1651.1069,0.054387487
512461,1671.6688,0.03847239
512462,1651.2133,0.0559441
