NPLV,TST,C
512324,1651.143997952108,0.08797796
512327,1645.7033412506348,0.19950756
512328,1650.448302096365,0.038044296
512331,1656.9657694025134,0.10308296
512333,1646.4692072039143,0.17036934
512339,1659.3558245225636,0.08987765
512344,1650.9059995316018,0.051395938
512348,1646.3407602494158,0.09630697
512349,1648.3164970954501,0.080409415
512350,1648.7110045912627,0.061776284
512352,1648.1332431983333,0.111045435
512354,1652.5066986537956,0.03520568
512355,1652.989453548538,0.052339215
512356,1653.0497296334868,0.06017014
512358,1653.2532336321726,0.09078831
512361,1650.810146009472,0.063042544
512362,1648.6894438883523,0.061591595
512363,1649.6766047718988,0.04224148
512366,1649.7284124217656,0.041051075
512367,1649.1615096830408,0.1252543
512368,1648.9783540199849,0.07159704
512369,1650.768128690573,0.08799098
512370,1656.6303266827292,0.063978314
512371,1651.9994394775965,0.050308276
512372,1648.8537907155126,0.120443925
512373,1648.0076795112984,0.061765064
512374,1649.1730212170112,0.042751767
512375,1648.7137142636789,0.02061161
512376,1648.5731006565861,0.017882304
512377,1649.4618442646054,0.05050167
512379,1650.8242442997994,0.06796197
512380,1659.0213871209253,0.024373075
512381,1651.0660576178595,0.055562284
512382,1651.0448129669937,0.045597196
512383,1651.022912355974,0.060478587
512384,1651.011188974979,0.055485513
512385,1651.1409975964152,0.04953759
512386,1657.6578239000248,0.07133827
512387,1649.9384987949666,0.07969498
512390,1661.3347464910648,0.047448527
512391,1649.1689824628286,0.061269134
512392,1648.9402532953302,0.06235216
512393,1649.3098939313131,0.058782555
512394,1657.345212090957,0.053372093
512395,1647.790436300511,0.050365064
512396,1648.8439116117113,0.033322502
512397,1648.3786157921763,0.041189495
512398,1648.9835646734023,0.04358641
512399,1653.0145130100727,0.2834435
512402,1650.299827375633,0.05155751
512403,1654.4095075187947,0.087071076
512405,1654.3279644358183,0.05730595
512407,1654.2547270926912,0.061532855
512408,1652.775299165987,0.08750405
512409,1651.5142396295623,0.05738121
512410,1651.6050601322352,0.07661966
512411,1651.1554475169214,0.059033155
512412,1651.3388465954365,0.062906384
512413,1650.9300467067128,0.062769644
512414,1651.3688177176111,0.07074551
512415,1651.4459291906476,0.0719994
512416,1651.7486205173238,0.08758874
512417,1647.2310853472463,0.06520414
512418,1645.5397570501889,0.021207178
512419,1645.5469387020567,0.02754644
512420,1646.256103447544,0.05131964
512421,1648.1583453463213,0.08940371
512422,1650.8766094882385,0.14404908
512423,1647.863535378464,0.043057647
512424,1645.6780286954854,0.035119034
512425,1647.6269209802294,0.038119897
512426,1646.237605337817,0.03579231
512427,1646.2606234683794,0.039687593
512428,1644.9384597592887,0.09047124
512430,1647.9711520864198,0.054436095
512431,1645.139689177513,0.07082525
512432,1645.76632335274,0.06306675
512433,1645.1097536714499,0.07775322
512434,1645.846407842109,0.07970185
512435,1647.972856509376,0.067672186
512436,1651.9665518815264,0.048454553
