NPLV,TST,C
512324,1605.5602,0.07153041
512327,1640.7838,0.06394214
512328,1611.1841,0.110360935
512331,1620.0488,0.13386877
512333,1683.082,0.0416996
512339,1582.7982,0.1635113
512344,1613.549,0.12602037
512348,1547.6854,0.046794135
512349,1613.7267,0.032909464
512350,1662.0916,0.10426019
512352,1632.6927,0.05007888
512354,1656.2773,0.04402577
512355,1666.9084,0.03806902
512356,1670.5082,0.03797017
512358,1660.0432,0.06065772
512361,1654.3262,0.034107313
512362,1670.4987,0.035317402
512363,1589.2439,0.057860203
512366,1653.8789,0.041129004
512367,1644.4071,0.041899823
512368,1671.2731,0.021773687
512369,1586.5642,0.06249541
512370,1600.2306,0.08117283
512371,1667.5166,0.037085492
512372,1598.6274,0.02315429
512373,1580.2078,0.043949235
512374,1652.8075,0.03560348
512375,1687.4753,0.052104995
512376,1651.9203,0.052924115
512377,1672.4019,0.04841446
512379,1657.7856,0.037742376
512380,1620.7458,0.04247508
512381,1668.1616,0.05439355
512382,1589.5743,0.045456246
512383,1610.1649,0.05548623
512384,1681.6228,0.046459157
512385,1664.9122,0.04318977
512386,1662.5647,0.04639665
512387,1648.4667,0.052909292
512390,1667.2288,0.03041118
512391,1670.5242,0.119126484
512392,1658.7424,0.05054681
512393,1651.5667,0.23544513
512394,1672.1316,0.038267627
512395,1545.6049,0.06430395
512396,1662.6901,0.04549303
512397,1635.0721,0.033209395
512398,1637.8087,0.048376027
512399,1619.2627,0.05454082
512402,1679.4775,0.04417634
512403,1654.5951,0.042239886
512405,1635.6406,0.046116903
512407,1652.2031,0.14364249
512408,1574.397,0.084930286
512409,1658.7797,0.31395802
512410,1664.2994,0.050649293
512411,1633.9701,0.046912387
512412,1542.2324,0.05672829
512413,1593.0747,0.046361066
512414,1615.5021,0.05136334
512415,1621.4137,0.06089051
512416,1678.7466,0.056530207
512417,1650.7361,0.25861135
512418,1639.0502,0.040116094
512419,1634.0947,0.22777544
512420,1616.1963,0.17039977
512421,1596.8744,0.033259097
512422,1594.4403,0.054851577
512423,1663.2134,0.048229266
512424,1611.2732,0.29420456
512425,1641.1609,0.05661961
512426,1655.5801,0.034380786
512427,1632.896,0.042610243
512428,1576.571,0.036163066
