NPLV,TST,C
512324,1625.8,0.05840000000000001
512327,1660.6,0.0492
512328,1658.4,0.0494
512331,1627.2,0.4288
512333,1672.0,0.048799999999999996
512339,1640.6,0.06
512344,1649.8,0.1172
512348,1640.0,0.17980000000000002
512349,1570.4,0.0692
512350,1600.4,0.0738
512352,1665.6,0.0674
512354,1652.6,0.046200000000000005
512355,1677.4,0.05639999999999999
512356,1658.6,0.091
512358,1666.6,0.0794
512361,1663.8,0.06699999999999999
512362,1672.0,0.07980000000000001
512363,1656.2,0.0558
512366,1661.2,0.0626
512367,1656.8,0.054799999999999995
512368,1675.0,0.06219999999999999
512369,1661.6,0.0386
512370,1626.6,0.046
512371,1665.4,0.052000000000000005
512372,1640.4,0.1234
512373,1638.4,0.0512
512374,1676.8,0.047
512375,1647.4,0.1356
512376,1661.2,0.0426
512377,1663.0,0.038
512379,1659.0,0.0518
512380,1678.0,0.049999999999999996
512381,1660.2,0.0748
512382,1636.6,0.0506
512383,1669.0,0.048
512384,1614.6,0.0742
512385,1674.4,0.0504
512386,1671.6,0.0496
512387,1659.4,0.1962
512390,1653.4,0.0556
512391,1665.0,0.07759999999999999
512392,1655.0,0.05
512393,1667.4,0.0654
512394,1666.2,0.0528
512395,1630.2,0.0424
512396,1640.2,0.0422
512397,1657.6,0.05
512398,1645.8,0.043000000000000003
512399,1643.6,0.23279999999999998
512402,1667.0,0.06
512403,1666.4,0.0496
512405,1632.4,0.0374
512407,1676.4,0.0696
512408,1635.4,0.0496
512409,1633.0,0.0526
512410,1667.6,0.059199999999999996
512411,1644.6,0.0632
512412,1586.4,0.058199999999999995
512413,1652.8,0.06620000000000001
512414,1642.8,0.054200000000000005
512415,1674.4,0.0796
512416,1661.6,0.0632
512417,1670.0,0.0682
512418,1639.0,0.041999999999999996
512419,1639.0,0.041999999999999996
512420,1663.0,0.05399999999999999
512421,1677.0,0.0482
512422,1664.2,0.061399999999999996
512423,1643.6,0.06220000000000001
512424,1640.0,0.073
512425,1648.2,0.045200000000000004
512426,1658.8,0.059199999999999996
512427,1655.6,0.05119999999999999
512428,1635.0,0.040999999999999995
512430,1666.8,0.055400000000000005
512431,1680.2,0.0628
512432,1657.6,0.0446
512433,1628.4,0.042800000000000005
512434,1632.2,0.0398
512435,1624.8,0.0766
512436,1574.4,0.08239999999999999
512437,1577.8,0.0644
512438,1638.6,0.05
512440,1647.2,0.08940000000000001
512442,1629.2,0.0398
512443,1656.4,0.045
512444,1648.6,0.05639999999999999
512448,1648.2,0.036000000000000004
512449,1624.0,0.0366
512450,1625.8,0.0454
512451,1659.8,0.041999999999999996
512452,1640.4,0.1234
512453,1635.4,0.1238
512454,1659.8,0.1266
512455,1648.8,0.054000000000000006
512456,1628.6,0.0426
512461,1650.2,0.0626
512462,1626.0,0.05539999999999999
512464,1633.8,0.042199999999999994
512469,1681.4,0.0714
512471,1644.8,0.0402
512473,1638.4,0.0744
512474,1670.2,0.0648
512477,1637.4,0.0402
512481,1656.6,0.0874
512482,1648.8,0.08199999999999999
512485,1654.6,0.088
512489,1659.8,0.0596
512490,1655.6,0.0804
512491,1657.0,0.0472
512492,1644.6,0.0382
512494,1676.6,0.054000000000000006
512496,1669.8,0.045799999999999993
512497,1664.6,0.0448
512499,1657.2,0.054000000000000006
512500,1646.2,0.0486
512501,1640.4,0.069
512502,1671.2,0.04359999999999999
512503,1659.4,0.0526
512504,1596.4,0.0698
512505,1594.8,0.0706
512506,1586.4,0.088
512507,1658.4,0.07239999999999999
512508,1608.4,0.0706
512509,1611.8,0.0632
512511,1642.8,0.0756
512512,1671.2,0.0648
512513,1657.8,0.0928
512514,1671.0,0.054599999999999996
512515,1667.4,0.08660000000000001
512516,1642.6,0.14100000000000001
512517,1666.0,0.06939999999999999
512518,1659.6,0.06179999999999999
512519,1669.8,0.08919999999999999
512520,1646.2,0.0914
512521,1680.6,0.046
512522,1677.0,0.0474
512523,1648.8,0.05199999999999999
512524,1627.4,0.0452
512525,1634.6,0.058399999999999994
512526,1670.2,0.0738
512527,1661.0,0.09240000000000001
512528,1654.4,0.0818
512529,1656.2,0.08199999999999999
512531,1649.4,0.066
512532,1668.8,0.062
512533,1647.4,0.1568
512534,1643.4,0.0786
512535,1618.2,0.049600000000000005
512536,1650.4,0.2338
512537,1663.6,0.0472
512538,1659.4,0.046799999999999994
512539,1668.0,0.0658
512540,1679.4,0.047799999999999995
512541,1650.0,0.064
512542,1689.6,0.053799999999999994
512544,1642.0,0.0608
512545,1671.8,0.06620000000000001
512546,1653.8,0.079
512547,1634.6,0.0748
512548,1658.8,0.0678
512549,1676.0,0.05539999999999999
512550,1657.0,0.097
512551,1646.4,0.28640000000000004
512552,1636.4,0.2794
512553,1657.8,0.056600000000000004
512554,1669.4,0.0524
512555,1663.6,0.0472
512556,1657.2,0.0504
512557,1665.6,0.0502
512558,1651.6,0.06720000000000001
512559,1639.6,0.0538
512560,1662.4,0.0832
512561,1673.6,0.07239999999999999
512562,1674.0,0.05499999999999999
512563,1667.4,0.0482
512564,1664.4,0.057999999999999996
512566,1658.8,0.09519999999999999
512567,1649.4,0.039400000000000004
512568,1679.8,0.0454
512569,1660.2,0.0432
512570,1633.6,0.072
512571,1648.8,0.09459999999999999
512572,1676.4,0.0628
512573,1683.2,0.059
512574,1670.4,0.0692
512575,1676.4,0.1376
512576,1621.0,0.11579999999999999
512577,1641.4,0.0424
512578,1666.4,0.060399999999999995
512579,1644.6,0.061399999999999996
512580,1660.6,0.046200000000000005
512581,1649.6,0.0414
512582,1660.2,0.05700000000000001
512583,1670.6,0.048
512584,1668.4,0.047
512585,1655.8,0.047799999999999995
512586,1647.8,0.0374
512588,1638.2,0.05720000000000001
512589,1654.6,0.060399999999999995
512591,1663.0,0.08560000000000001
512593,1619.2,0.057800000000000004
512594,1675.0,0.060399999999999995
512595,1668.8,0.211
512596,1665.0,0.06420000000000001
512597,1679.2,0.0784
512598,1669.0,0.0622
512599,1666.4,0.1954
512600,1661.2,0.09019999999999999
512602,1643.6,0.0538
512603,1673.2,0.0718
512604,1661.2,0.12199999999999997
512605,1680.8,0.07680000000000001
512606,1655.6,0.0666
512607,1649.2,0.0736
512608,1648.0,0.0626
512609,1639.2,0.0444
512610,1658.4,0.0412
512612,1653.6,0.0676
512613,1663.8,0.073
512614,1686.6,0.0556
512615,1624.2,0.039400000000000004
512617,1632.6,0.0628
512619,1624.2,0.039400000000000004
512621,1644.0,0.1076
512626,1677.2,0.0686
512627,1664.8,0.060399999999999995
512628,1663.0,0.0856
512629,1634.0,0.162
512630,1618.8,0.061999999999999986
512631,1666.4,0.0806
512632,1664.6,0.0918
512634,1593.6,0.0512
512635,1684.8,0.07919999999999999
512636,1675.6,0.22440000000000002
512637,1636.8,0.0512
512642,1659.8,0.0512
512644,1626.4,0.0422
512647,1654.4,0.0708
512649,1627.6,0.07319999999999999
512650,1618.0,0.2212
512651,1637.8,0.2076
512652,1647.8,0.13679999999999998
512653,1675.6,0.0628
512654,1674.0,0.101
512655,1631.0,0.6742
512656,1672.0,0.1376
512658,1680.0,0.0696
512659,1680.6,0.0682
512660,1681.2,0.0732
512661,1680.6,0.0758
512662,1674.4,0.0704
512665,1663.6,0.061
512667,1664.6,0.0646
512669,1670.4,0.055799999999999995
512670,1661.0,0.08560000000000001
512671,1665.2,0.0914
512672,1658.2,0.2692
512674,1631.2,0.678
512675,1662.0,0.0776
512676,1663.6,0.0438
512677,1648.2,0.0738
512678,1670.4,0.0498
512679,1654.4,0.0482
512680,1644.4,0.048999999999999995
512681,1645.4,0.07780000000000001
512682,1655.2,0.0546
512683,1634.6,0.2866
512684,1650.2,0.4452
512685,1658.2,0.2692
512686,1654.6,0.0868
512687,1659.6,0.08439999999999999
512688,1586.8,0.1014
512689,1657.8,0.083
512690,1654.8,0.097
512691,1661.8,0.052000000000000005
512692,1654.0,0.061
512693,1646.0,0.054599999999999996
512694,1624.2,0.039400000000000004
512695,1665.0,0.07780000000000001
512698,1651.8,0.2658
512699,1640.2,0.4896
512700,1667.4,0.0948
512701,1673.8,0.0654
512702,1677.4,0.0756
512704,1673.4,0.0686
512705,1662.4,0.0806
512706,1673.2,0.09320000000000002
512707,1644.6,0.2866
512708,1660.2,0.09659999999999999
512709,1652.0,0.09119999999999999
512710,1661.6,0.08739999999999999
512711,1672.2,0.07499999999999998
512712,1639.0,0.34120000000000006
512713,1662.6,0.0844
512714,1676.6,0.0596
512715,1640.0,0.079
512716,1595.4,0.08760000000000001
512718,1666.2,0.06020000000000001
512719,1665.8,0.0506
512720,1674.8,0.0596
512721,1670.2,0.0606
512723,1642.2,0.0692
512725,1680.2,0.0658
512726,1653.6,0.0712
512727,1666.6,0.04920000000000001
512728,1680.8,0.0682
512729,1650.8,0.1156
