NPLV,w2v_0,w2v_1,w2v_2,w2v_3,w2v_4,w2v_5,w2v_6,w2v_7,w2v_8,w2v_9,w2v_10,w2v_11,w2v_12,w2v_13,w2v_14,w2v_15,w2v_16,w2v_17,w2v_18,w2v_19
510008,-0.11488216,0.03054385,0.044728022,-0.090177156,0.08835575,-0.037196755,0.057583734,0.3774148,-0.18666102,0.1409142,0.14746967,-0.08929683,-0.022813475,-0.07759902,0.095621124,0.04585431,0.43998006,-0.045212246,-0.2739065,-0.021222362
510009,-0.11004309,0.02995231,0.065641396,-0.08163947,0.061862905,-0.04646786,0.09811017,0.37540162,-0.19301444,0.11448516,0.1780797,-0.087971956,-0.04460297,-0.09859439,0.09636974,0.050011747,0.43129462,-0.012977383,-0.25391287,-0.056444082
510010,-0.121507175,0.0412715,0.039691847,-0.0820825,0.08722607,-0.037163775,0.050566256,0.35333848,-0.17929567,0.13660409,0.13284342,-0.08887719,-0.019685829,-0.07105773,0.08042722,0.039254423,0.43005332,-0.04029274,-0.28153726,-0.012426722
510011,-0.114972696,0.028977592,0.0158411,-0.0730069,0.07386993,-0.04848446,0.029960265,0.35832414,-0.18154195,0.12180911,0.12295875,-0.055501062,-0.008471741,-0.08333374,0.07552932,0.035109095,0.42614654,-0.07285144,-0.30888337,0.008846973
510012,-0.12657848,0.04898405,0.024897585,-0.10030454,0.10410057,-0.02100187,0.023783905,0.3567166,-0.173509,0.15526801,0.1085728,-0.076030985,-0.01642794,-0.06492931,0.06573132,0.0307547,0.4294044,-0.052925605,-0.28804684,0.0141497
510013,-0.12676045,0.04382878,0.03254111,-0.09439507,0.08998933,-0.026348982,0.036760006,0.36004072,-0.17807758,0.14973834,0.12285952,-0.07769286,-0.023449577,-0.07525968,0.072114974,0.035350434,0.43562627,-0.051134042,-0.28717694,0.0061286585
510014,-0.13025782,0.04923705,0.02782838,-0.100723766,0.0984398,-0.018697131,0.030651748,0.36267018,-0.1793375,0.15478304,0.11471715,-0.0797496,-0.038201462,-0.076,0.058971185,0.027858544,0.43987307,-0.047527157,-0.2886552,0.0152918175
510015,-0.11987582,0.031375125,0.030256862,-0.1163985,0.108425476,-0.023533769,0.029145265,0.3851637,-0.18278794,0.16501015,0.12813383,-0.073973656,-0.01887519,-0.07596272,0.08747418,0.036026854,0.440756,-0.059792317,-0.27936453,0.009200282
510016,-0.121507175,0.0412715,0.039691847,-0.0820825,0.08722607,-0.037163775,0.050566256,0.35333848,-0.17929567,0.13660409,0.13284342,-0.08887719,-0.019685829,-0.07105773,0.08042722,0.039254423,0.43005332,-0.04029274,-0.28153726,-0.012426722
510017,-0.1286306,0.05017164,0.024063313,-0.10616249,0.11048307,-0.010552734,0.01938688,0.36588198,-0.17745645,0.16311477,0.10340978,-0.072287604,-0.013504309,-0.06563444,0.06159179,0.024357622,0.42844728,-0.05910348,-0.29329982,0.028141417
510018,-0.12044596,0.04218831,0.059329405,-0.080526695,0.07111795,-0.036700852,0.079151295,0.3591974,-0.19376966,0.12226697,0.1538965,-0.10210084,-0.037911244,-0.084238455,0.08644387,0.03505427,0.43416038,-0.024214165,-0.2811821,-0.022838404
510019,-0.13108326,0.033923313,0.032288827,-0.086059876,0.07545957,-0.046764158,0.069725744,0.35119495,-0.17853057,0.12654465,0.13595779,-0.096960194,-0.008166296,-0.077782005,0.10928303,0.042563275,0.44505778,-0.0332594,-0.27472904,-0.036780946
510020,-0.12657848,0.04898405,0.024897585,-0.10030454,0.10410057,-0.02100187,0.023783905,0.3567166,-0.173509,0.15526801,0.1085728,-0.076030985,-0.01642794,-0.06492931,0.06573132,0.0307547,0.4294044,-0.052925605,-0.28804684,0.0141497
510021,-0.12447383,0.050774157,0.043232586,-0.07888486,0.091097146,-0.022369003,0.04923141,0.35122958,-0.18405426,0.14053634,0.12958008,-0.092310436,-0.041193917,-0.08072521,0.06694259,0.033651646,0.43979686,-0.035684634,-0.284473,-0.004476758
510022,-0.12865299,0.056977082,0.025860941,-0.10966811,0.11039715,-0.007448013,0.01556279,0.35493392,-0.17465167,0.16310742,0.10364943,-0.07272297,-0.031450536,-0.071125604,0.05330267,0.024403246,0.43241653,-0.04848648,-0.28939855,0.027918207
510023,-0.12785998,0.0372047,0.02219698,-0.09380496,0.09308382,-0.03683971,0.051372316,0.35517642,-0.16883023,0.14581187,0.122042865,-0.08391894,-0.012656382,-0.071614504,0.091754876,0.044452697,0.439539,-0.036710665,-0.26792416,-0.018613363
510024,-0.12684086,0.046357695,0.031860277,-0.1012377,0.09381405,-0.024306204,0.04097057,0.36660787,-0.18176976,0.14618714,0.116757885,-0.08310604,-0.014491626,-0.06608347,0.07491131,0.027900496,0.4294453,-0.051671527,-0.29079685,0.0077219615
510026,-0.13870484,0.05040982,0.004472552,-0.099853866,0.11379366,-0.02213323,0.017807966,0.34948692,-0.16235672,0.15738279,0.09506695,-0.07680945,-0.012824752,-0.06760898,0.07620973,0.03313931,0.4495716,-0.051431715,-0.28064454,0.0019808656
510027,-0.11491118,0.03422721,0.0032822387,-0.08881469,0.08795133,-0.021395477,0.014630522,0.3570093,-0.17353684,0.13362056,0.11643776,-0.05517998,-0.026555454,-0.080410324,0.059161086,0.03772156,0.4510443,-0.054273393,-0.29402083,0.020335943
510028,-0.13633834,0.05354076,0.015209249,-0.09806015,0.11224993,-0.02215464,0.026316887,0.36026162,-0.17114785,0.1527834,0.09961431,-0.077583574,-0.012636027,-0.06663847,0.075093545,0.031679258,0.4442251,-0.056293555,-0.28735384,0.0038515176
510030,-0.11297321,0.027553786,0.011708851,-0.096295506,0.08049039,-0.02699788,0.036550574,0.37683445,-0.18231939,0.1370506,0.12513168,-0.06454085,-0.025692604,-0.07888478,0.06551788,0.04005944,0.44573757,-0.050848063,-0.29004303,0.014209644
510031,-0.13933858,0.04439135,0.03487445,-0.104339465,0.08054849,-0.03503075,0.06752498,0.3725922,-0.18674187,0.1289312,0.12562266,-0.093063235,-0.016001107,-0.07803538,0.094982736,0.026601974,0.4354739,-0.048530746,-0.28392544,-0.019408727
510032,-0.13615152,0.03869123,0.020022117,-0.09408486,0.08918542,-0.03410077,0.045976646,0.37529254,-0.17806166,0.14845702,0.11334812,-0.087796785,-0.025520477,-0.069369644,0.08204876,0.034124862,0.44864473,-0.05566584,-0.2875421,-0.0028421534
510033,-0.123381875,0.035034854,0.05347226,-0.095050156,0.06251892,-0.03343751,0.068703994,0.38598552,-0.18655466,0.13765375,0.15473297,-0.0808905,-0.047726728,-0.09303093,0.0924825,0.041179966,0.442679,-0.039234206,-0.2745448,-0.020743864
510037,-0.12725057,0.050314456,0.023569977,-0.09973974,0.10890192,-0.024985874,0.024473568,0.35911682,-0.17071989,0.15177017,0.11154694,-0.07700839,-0.02020398,-0.06396687,0.06632803,0.030468695,0.4313704,-0.04838697,-0.2840503,0.009774388
510040,-0.12657848,0.04898405,0.024897585,-0.10030454,0.10410057,-0.02100187,0.023783905,0.3567166,-0.173509,0.15526801,0.1085728,-0.076030985,-0.01642794,-0.06492931,0.06573132,0.0307547,0.4294044,-0.052925605,-0.28804684,0.0141497
510043,-0.12440475,0.04892083,0.0074431375,-0.1136222,0.118944906,-0.013665529,0.001249598,0.37716848,-0.17661843,0.16957524,0.088269725,-0.06891221,-0.014538755,-0.064134344,0.053008966,0.020327257,0.45851836,-0.06620424,-0.29376736,0.023512883
510044,-0.1308532,0.04158462,0.01613167,-0.094074994,0.09724126,-0.02353877,0.039521385,0.35537657,-0.17063503,0.15651487,0.105675876,-0.08076647,-0.010706929,-0.07014725,0.08167426,0.040237676,0.4421331,-0.049923364,-0.2775806,-0.0034932105
510045,-0.12867157,0.049348917,0.026499394,-0.09271648,0.09832691,-0.013563522,0.027496688,0.36501387,-0.17530979,0.15991211,0.106299914,-0.08134669,-0.0288569,-0.06648192,0.064850956,0.029601531,0.4383521,-0.057850845,-0.2912605,0.019519376
510047,-0.13383146,0.040587135,0.02437872,-0.08773284,0.08411105,-0.022757458,0.043191295,0.3591582,-0.17044604,0.15453544,0.11493869,-0.089155,-0.030575823,-0.074564785,0.08869594,0.0381503,0.453,-0.047856636,-0.28042617,-0.0020880837
510048,-0.12157301,0.043708164,0.052989338,-0.08520018,0.07537712,-0.03172534,0.06521848,0.367305,-0.18382981,0.12882502,0.15117106,-0.08299139,-0.0553066,-0.09285576,0.08157721,0.038322676,0.4389775,-0.026660953,-0.2683066,-0.03015608
510049,-0.12657848,0.04898405,0.024897585,-0.10030454,0.10410057,-0.02100187,0.023783905,0.3567166,-0.173509,0.15526801,0.1085728,-0.076030985,-0.01642794,-0.06492931,0.06573132,0.0307547,0.4294044,-0.052925605,-0.28804684,0.0141497
510050,-0.13065441,0.05165502,0.023741063,-0.10060776,0.10242976,-0.014503967,0.02965217,0.36831757,-0.18047674,0.15435468,0.10241889,-0.0806924,-0.015688391,-0.063986495,0.06573682,0.024116648,0.43449184,-0.060752764,-0.29616654,0.018329883
510051,-0.119809486,0.03308668,0.022793075,-0.08782105,0.07973254,-0.016925376,0.046542875,0.3626458,-0.17834964,0.14039072,0.122387804,-0.08163767,-0.027376842,-0.075917415,0.07525052,0.03439163,0.43952736,-0.044503264,-0.2791635,0.0068861656
510052,-0.13585691,0.04467981,0.015508478,-0.09371219,0.09614962,-0.020784294,0.030877233,0.3535664,-0.16778862,0.15735696,0.1042735,-0.08289556,-0.02057751,-0.07167517,0.082530186,0.0358971,0.45054823,-0.0514611,-0.28221235,0.0016815454
510053,-0.13233659,0.0411419,0.045036048,-0.08260453,0.067942925,-0.027405733,0.06781638,0.36921054,-0.188327,0.13520515,0.13180892,-0.10041626,-0.038898468,-0.08115185,0.08132734,0.029593125,0.4358089,-0.050054803,-0.28531355,-0.011372211
510055,-0.13473226,0.043787107,0.012707838,-0.100971036,0.1013275,-0.028634595,0.027780559,0.34441048,-0.16520894,0.15268545,0.10617428,-0.07807476,-0.007905618,-0.070824854,0.08543866,0.03772309,0.44356176,-0.046073847,-0.2781233,-0.005470833
510057,-0.1389387,0.06107336,0.042664867,-0.1115432,0.110809736,-0.027780447,0.03743755,0.38091907,-0.18353546,0.15915458,0.12231315,-0.07128542,-0.020444129,-0.073377445,0.07466103,0.02939969,0.43418607,-0.05951515,-0.29142278,-0.006629414
510058,-0.10017306,0.031116663,0.014425074,-0.10661489,0.10348572,-0.027045222,0.011760277,0.39951894,-0.19630723,0.16095859,0.11256738,-0.07031438,-0.007887863,-0.10073647,0.07913723,0.02541709,0.5483933,-0.057568327,-0.28205407,-0.030555949
510059,-0.13536483,0.045039255,0.011458325,-0.10043946,0.10584642,-0.032384247,0.028429653,0.3466695,-0.16258389,0.14939336,0.108973466,-0.07899468,-0.011459538,-0.06991904,0.08600027,0.03745391,0.4454121,-0.04180219,-0.2743618,-0.0095887715
510060,-0.12852082,0.045286044,0.019295843,-0.09598813,0.104540616,-0.02853485,0.028344175,0.36274365,-0.17458358,0.15122777,0.10692012,-0.08284178,-0.018345023,-0.060433537,0.06525754,0.029793888,0.43230262,-0.053352546,-0.2881264,0.0077495957
510061,-0.121245556,0.04266451,0.039411895,-0.09376677,0.103867345,-0.043553527,0.0073448005,0.37629205,-0.18546797,0.16131742,0.13520022,-0.06176911,-0.028873377,-0.08194988,0.07254809,0.043638535,0.45721182,-0.075552866,-0.3150031,0.015543343
510062,-0.13059263,0.039658442,0.045799,-0.0893502,0.07005031,-0.0371856,0.069232024,0.36091968,-0.18814176,0.12695722,0.13763455,-0.09728877,-0.026979785,-0.08145172,0.08446323,0.03082205,0.4259256,-0.04376174,-0.2810927,-0.021218743
510063,-0.121507175,0.0412715,0.039691847,-0.0820825,0.08722607,-0.037163775,0.050566256,0.35333848,-0.17929567,0.13660409,0.13284342,-0.08887719,-0.019685829,-0.07105773,0.08042722,0.039254423,0.43005332,-0.04029274,-0.28153726,-0.012426722
510064,-0.12852082,0.045286044,0.019295843,-0.09598813,0.104540616,-0.028534846,0.028344175,0.36274365,-0.17458358,0.15122777,0.10692012,-0.08284178,-0.018345023,-0.060433537,0.06525754,0.029793892,0.43230262,-0.053352546,-0.2881264,0.0077495957
510066,-0.121507175,0.0412715,0.039691847,-0.0820825,0.08722607,-0.037163775,0.050566256,0.35333848,-0.17929567,0.13660409,0.13284342,-0.08887719,-0.019685829,-0.07105773,0.08042722,0.039254423,0.43005332,-0.04029274,-0.28153726,-0.012426722
510067,-0.13112023,0.056165285,0.012210838,-0.1139752,0.12149305,-0.011972836,0.0035662139,0.36147755,-0.16652904,0.16667522,0.09233934,-0.06690829,-0.017250506,-0.05930726,0.05483158,0.023889579,0.43064725,-0.058716826,-0.28955734,0.030931085
510068,-0.13473226,0.043787107,0.012707838,-0.100971036,0.1013275,-0.028634595,0.027780559,0.34441048,-0.16520894,0.15268545,0.10617428,-0.07807476,-0.007905618,-0.070824854,0.08543866,0.03772309,0.44356176,-0.046073847,-0.2781233,-0.005470833
510069,-0.12725057,0.050314456,0.023569977,-0.09973974,0.10890192,-0.024985874,0.024473568,0.35911682,-0.17071989,0.15177017,0.11154694,-0.07700839,-0.02020398,-0.06396687,0.06632803,0.030468695,0.4313704,-0.04838697,-0.2840503,0.009774388
510070,-0.11665945,0.05157292,0.03105625,-0.0765188,0.08977625,-0.017235471,0.025476616,0.35479707,-0.17613584,0.1438338,0.11395149,-0.07794001,-0.0034780204,-0.06763951,0.08954468,0.034549005,0.44121253,-0.04915832,-0.29494402,0.0035283635
510071,-0.119149014,0.040456604,0.035477374,-0.09328773,0.09068993,-0.026388973,0.048349414,0.36513293,-0.17948014,0.15113032,0.12243456,-0.08141923,-0.017402928,-0.06701802,0.07301671,0.038559258,0.42412743,-0.04688026,-0.28042552,0.0031978562
510072,-0.12725057,0.050314456,0.023569977,-0.09973974,0.10890192,-0.024985874,0.024473568,0.35911682,-0.17071989,0.15177017,0.11154694,-0.07700839,-0.02020398,-0.06396687,0.06632803,0.030468695,0.4313704,-0.04838697,-0.2840503,0.009774388
510073,-0.120406985,0.039632484,0.040285405,-0.094056815,0.08598778,-0.032751784,0.063829556,0.37614062,-0.18447106,0.13967459,0.13203847,-0.0886707,-0.0188765,-0.067136526,0.08181237,0.035175808,0.42620677,-0.041997362,-0.2798936,-0.0061535104
510074,-0.12747341,0.04760984,0.030610764,-0.10070611,0.098332964,-0.028055856,0.041619666,0.3688669,-0.17914473,0.14289506,0.119557075,-0.08402595,-0.018045546,-0.06517765,0.07547291,0.027631314,0.43129563,-0.047399867,-0.28703535,0.0036040198
