TST,C
1690,0.06
1683,0.097
1662,0.091
1609,0.41
1682,0.12
1642,0.091
1646,0.061
1646,0.103
1712,0.067
1587,1.0
1634,0.482
1605,0.484
1606,0.107
1607,0.459
1647,0.073
1636,0.056
1620,0.054
1665,0.111
1600,0.107
1610,0.71
1690,0.109
1584,0.087
1684,0.045
1649,0.068
1645,0.035
1610,0.047
1574,0.073
1639,0.043
1658,0.09
1635,0.067
1658,0.041
1661,0.064
1614,0.05
1627,0.04
1642,0.044
1678,0.06
1631,0.052
1638,0.053
1681,0.068
1694,0.138
1663,0.067
1697,0.065
1664,0.114
1697,0.09
1688,0.09
1705,0.08
1607,0.201
1664,0.08
1630,0.092
1559,0.127
1630,0.08
1629,0.089
1604,0.072
1623,0.08
1640,0.08
1654,0.093
1666,0.056
1712,0.099
1619,0.08
1625,0.114
1684,0.08
1660,0.083
1633,0.042
1643,0.055
1633,0.078
1636,0.032
1624,0.083
1606,0.085
1640,0.113
1590,0.073
1627,0.102
1625,0.077
1637,0.341
1683,0.048
1598,0.56
1620,0.094
1646,0.084
1643,0.087
1644,0.038
1656,0.172
1659,0.032
1650,0.144
1642,0.065
1665,0.076
1673,0.129
1660,0.059
1645,0.164
1604,0.053
1637,0.047
1679,0.045
1676,0.045
1722,0.071
1634,0.058
1635,0.062
1605,0.037
1631,0.053
1600,0.031
1660,0.063
1678,0.056
1676,0.052
1699,0.051
1673,0.056
1644,0.343
1621,0.066
1685,0.09
1658,0.064
1673,0.055
1676,0.05
1670,0.043
1632,0.063
1652,0.047
1662,0.053
1663,0.037
1656,0.045
1686,0.036
1660,0.04
1649,0.04
1631,0.155
1615,0.092
1650,0.149
1569,0.176
1624,0.054
1635,0.055
1661,0.046
1659,0.071
1638,0.069
1660,0.077
1673,0.055
1682,0.049
1588,0.103
1604,0.062
1623,0.058
1651,0.028
1580,0.21
1654,0.058
1671,0.043
1667,0.058
1619,0.069
1610,0.045
1642,0.054
1663,0.045
1649,0.04
1691,0.053
1683,0.082
1703,0.058
1706,0.035
1695,0.063
1698,0.066
1651,0.052
1633,0.102
1605,0.071
1653,0.056
1661,0.057
1656,0.054
1635,0.075
1693,0.052
1628,0.05
1662,0.062
1658,0.077
1653,0.068
1664,0.061
1685,0.059
1717,0.051
1659,0.039
1653,0.052
1652,0.033
1654,0.07
1621,0.054
1625,0.14
1705,0.043
1618,0.064
1657,0.138
1690,0.083
1608,0.063
1677,0.062
1592,0.094
1653,0.056
1616,0.063
1657,0.048
1702,0.04
1629,0.078
1661,0.094
1619,0.067
1660,0.052
1669,0.06
1666,0.076
1648,0.052
1661,0.047
1624,0.068
1664,0.056
1666,0.045
1628,0.131
1649,0.148
1648,0.1
1699,0.066
1663,0.049
1679,0.068
1682,0.038
1602,0.04
1667,0.048
1667,0.05
1626,0.103
1630,0.051
1621,0.13
1689,0.047
1688,0.048
1695,0.046
1663,0.054
1671,0.16
1691,0.1
1650,0.062
1625,0.489
1658,0.045
1642,0.057
1685,0.034
1682,0.044
1687,0.069
1732,0.039
1656,0.048
1587,0.61
1691,0.062
1674,0.061
1678,0.033
1617,0.036
1643,0.046
1618,0.289
1660,0.061
1605,0.055
1693,0.044
1661,0.048
1676,0.04
1663,0.044
1646,0.049
1627,0.083
1619,0.068
1633,0.042
1602,0.04
1656,0.039
1615,0.044
1620,0.308
1623,0.047
1684,0.041
1707,0.044
1634,0.052
1627,0.057
1653,0.04
1631,0.053
1627,0.049
1623,0.059
1646,0.044
1623,0.055
1652,0.057
1639,0.103
1670,0.061
1664,0.107
1561,0.105
1653,0.049
1681,0.055
1589,0.031
1633,0.04
1665,0.049
1645,0.061
1645,0.032
1616,0.036
1606,0.052
1661,0.061
1636,0.166
1638,0.083
1616,0.039
1626,0.044
1598,0.046
1621,0.029
1635,0.037
1604,0.057
1669,0.043
1667,0.056
1660,0.034
1653,0.033
1668,0.063
1692,0.036
1627,0.046
1666,0.039
1695,0.029
1646,0.03
1677,0.029
1633,0.035
1662,0.034
1678,0.035
1669,0.051
1704,0.044
1659,0.088
1688,0.071
1700,0.035
1665,0.065
1674,0.037
1657,0.048
1619,0.036
1621,0.043
1690,0.027
1657,0.035
1671,0.043
1646,0.044
1682,0.04
1656,0.06
1670,0.053
1660,0.071
1629,0.05
1642,0.05
1682,0.039
1680,0.032
1617,0.042
1624,0.03
1635,0.037
1636,0.043
1667,0.041
1715,0.027
1610,0.246
1645,0.048
1690,0.032
1629,0.055
1648,0.039
1563,0.058
1630,0.035
1665,0.032
1662,0.069
1717,0.039
1596,0.053
1615,0.046
1643,0.036
1621,0.024
1685,0.028
1668,0.041
1623,0.048
1613,0.046
1653,0.039
1660,0.038
1646,0.039
1696,0.031
1694,0.045
1652,0.038
1624,0.042
1654,0.04
1669,0.05
1630,0.054
1680,0.054
1687,0.03
1627,0.034
1634,0.037
1706,0.032
1656,0.033
1704,0.03
1704,0.032
1653,0.073
1625,0.065
1619,0.043
1615,0.043
1661,0.044
1688,0.029
1496,0.037
1614,0.055
1659,0.028
1583,0.047
1632,0.05
1683,0.043
1710,0.047
1658,0.059
1676,0.084
1676,0.073
1634,0.041
1660,0.045
1634,0.023
1690,0.034
1654,0.071
1669,0.1
1675,0.06
1608,0.046
1575,0.03
1612,0.054
1578,0.06
1650,0.026
1642,0.033
1616,0.047
1624,0.054
1610,0.099
1613,0.052
1682,0.039
1648,0.057
1657,0.042
1673,0.034
1672,0.059
1648,0.093
1630,0.031
1608,0.058
1629,0.077
1638,0.042
1623,0.038
1657,0.026
1692,0.028
1624,0.046
1630,0.053
1659,0.037
1620,0.042
1642,0.03
1634,0.041
1667,0.044
1627,0.058
1642,0.058
1631,0.042
1640,0.025
1654,0.041
1677,0.054
1659,0.04
1639,0.045
1648,0.044
1632,0.048
1653,0.037
1668,0.043
1632,0.038
1633,0.037
1621,0.068
1665,0.05
1677,0.039
1639,0.043
1676,0.04
1661,0.045
1647,0.056
1664,0.031
1674,0.037
1664,0.044
1632,0.041
1668,0.045
1655,0.03
1692,0.051
1656,0.039
1656,0.037
1664,0.047
1650,0.044
1671,0.036
1710,0.044
1681,0.052
1637,0.049
1665,0.046
1638,0.037
